id,file_name,file_index,img_type,time_utc,minute_offsets,episode_id,event_id,event_type,llcrnrlat,llcrnrlon,urcrnrlat,urcrnrlon,proj,size_x,size_y,height_m,width_m,data_min,data_max,pct_missing
R17062009557490,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,451,vil,2017-06-20 09:55:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,30.35469131219764,-86.06166427256152,33.249847206778085,-81.46630429662528,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,228.0,0.0
R17061817478220,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,639,vil,2017-06-18 17:47:30,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,40.68180018989767,-82.54314355746806,43.34894248130782,-76.98939629669623,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
S710670,vil/2017/SEVIR_VIL_STORMEVENTS_2017_0101_0630.h5,48,vil,2017-06-29 00:50:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,118251.0,710670.0,Thunderstorm Wind,38.58293325411242,-96.41227601274292,41.88494582328874,-91.69085599175,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
S709923,vil/2017/SEVIR_VIL_STORMEVENTS_2017_0101_0630.h5,68,vil,2017-06-21 23:39:00,-119:-114:-109:-104:-99:-94:-89:-84:-79:-74:-69:-64:-59:-54:-49:-44:-39:-34:-29:-24:-19:-14:-9:-4:1:6:11:16:21:26:31:36:41:46:51:56:61:66:71:76:81:86:91:96:101:106:111:116:121,118126.0,709923.0,Thunderstorm Wind,28.88371754150088,-89.42533574924916,31.93174210142094,-85.03505058283011,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,236.0,0.0
R17061415278179,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,849,vil,2017-06-14 15:27:30,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,40.219481175475394,-91.89392330391918,43.32618098374957,-86.82066071351437,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
R17061618277724,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,199,vil,2017-06-16 18:27:30,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,33.85716356912756,-92.33512162118711,37.003844407778,-87.75756122862721,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
R17062709377735,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,545,vil,2017-06-27 09:37:30,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,34.368886618949354,-99.19792866461552,37.78787685028285,-94.88114048774408,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
S707492,vil/2017/SEVIR_VIL_STORMEVENTS_2017_0101_0630.h5,32,vil,2017-06-26 22:52:00,-122:-117:-112:-107:-102:-97:-92:-87:-82:-77:-72:-67:-62:-57:-52:-47:-42:-37:-32:-27:-22:-17:-12:-7:-2:3:8:13:18:23:28:33:38:43:48:53:58:63:68:73:78:83:88:93:98:103:108:113:118,117656.0,707492.0,Hail,37.56436552728685,-103.13177343346943,41.12731570137744,-98.81158004808267,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
R17062409327601,vil/2017/SEVIR_VIL_RANDOMEVENTS_2017_0501_0831.h5,298,vil,2017-06-24 09:32:30,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,,,,31.94562684315196,-89.20908804554632,34.968528419615765,-84.630005093453,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,251.0,0.0
S695727,vil/2017/SEVIR_VIL_STORMEVENTS_2017_0101_0630.h5,92,vil,2017-06-21 04:20:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,115752.0,695727.0,Hail,44.49072898245612,-108.04864551883044,48.23899166083719,-103.5461974261608,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384,384,384000.0,384000.0,0.0,254.0,0.0
